French,English
partie,part
seulement,only
aide,help
genre,kind
mois,month
laisser,let
car,because
mettre,to put
eux,them
chaque,each
parlé,speak
arrivé,come
bébé,baby
heures,hours
vont,will
revoir,meet again
compris,understood
attention,Warning
voici,here is
pourrais,could
affaire,case
donner,give
donné,given
corps,body
dont,whose
trouve,find
premier,first
première,first
vieux,old
matin,morning
pardon,sorry
venez,come
belle,beautiful
droit,law
aimerais,would like to
aujourd'hui,today
cause,cause
enfin,finally
attendez,Wait
parti,left
nouvelle,new
terre,Earth
compte,account
loin,far
croire,believe
chérie,sweetheart
gros,large
